cut,color,depth,price,carat
Good,D,63.6,low,0.44
Fair,F,64.2,low,0.45
Good,I,60.4,low,0.5
Good,F,56.8,low,0.45
Fair,F,64.3,low,0.45
Fair,F,65.8,low,0.45
Good,D,63.7,low,0.45
Good,D,63.7,low,0.45
Good,D,63.2,low,0.46
Fair,F,64.9,low,0.5
Good,D,60.6,low,0.44
Good,I,63.7,low,0.61
Fair,D,57.5,low,0.49
Fair,F,55.8,low,0.5
Good,F,57.8,low,0.5
Good,I,63.4,low,0.59
Good,I,63.4,low,0.61
Good,F,64,low,0.5
Fair,F,64.6,low,0.5
Good,F,63.6,low,0.5
Fair,F,61,low,0.51
Good,F,65.3,low,0.5
Good,F,59.7,low,0.5
Good,F,63.3,low,0.5
Good,D,64.1,low,0.5
Fair,F,65.5,low,0.53
Good,F,60.9,low,0.5
Fair,I,55.3,low,0.64
Good,D,60.1,low,0.51
Good,D,64.2,low,0.51
Fair,D,63.7,low,0.5
Fair,D,66.9,low,0.5
Good,F,58.8,low,0.5
Good,F,63.6,low,0.5
Fair,I,57.2,low,0.67
Good,F,63.2,low,0.5
Good,F,63.2,low,0.5
Good,F,63.3,low,0.5
Good,F,63.3,low,0.5
Good,F,63.3,low,0.5
Good,F,63.6,low,0.5
Good,F,63.8,low,0.5
Fair,I,57.4,low,0.61
Good,I,56.1,low,0.63
Good,F,63.1,low,0.51
Good,F,61.3,low,0.5
Good,F,62.8,low,0.5
Good,D,63.7,low,0.51
Good,F,60.6,low,0.54
Good,F,62.8,low,0.55
Good,F,60.9,low,0.5
Good,F,63.2,low,0.51
Good,F,63.5,low,0.59
Good,F,63.7,low,0.51
Good,D,64,low,0.5
Fair,F,56.3,low,0.51
Good,F,63.6,low,0.52
Good,F,62.9,low,0.5
Good,F,58.2,low,0.55
Good,D,58.4,low,0.53
Good,F,57.7,low,0.5
Good,D,63.3,low,0.5
Good,D,63.4,low,0.5
Good,D,63.4,low,0.5
Good,D,63.7,low,0.5
Good,F,62.8,low,0.57
Good,F,64.9,low,0.59
Good,D,60.9,low,0.54
Fair,I,65.1,low,0.65
Good,D,63.7,low,0.51
Good,D,63.1,low,0.51
Good,D,63.5,low,0.51
Good,D,63.5,low,0.51
Fair,D,64.4,low,0.51
Good,F,60,low,0.57
Good,D,63.4,low,0.52
Good,D,63.5,low,0.52
Good,I,60.7,low,0.67
Good,D,64,low,0.5
Fair,F,59.6,low,0.32
Good,D,63.4,low,0.53
Good,F,64.2,low,0.54
Good,I,64,low,0.71
Good,D,63.7,low,0.5
Fair,F,57,low,0.56
Fair,I,66.1,low,0.7
Good,D,58,low,0.51
Fair,I,61.6,low,0.71
Good,I,64,low,0.71
Fair,F,58.3,low,0.65
Good,F,58.8,low,0.6
Good,F,63,low,0.61
Fair,I,64.4,low,0.7
Good,I,57.1,medium,0.7
Good,I,63.6,medium,0.7
Good,D,58.3,medium,0.57
Good,I,64.2,medium,0.71
Fair,F,57,medium,0.64
Good,F,59.3,medium,0.64
Good,I,63.3,medium,0.72
Good,I,63.6,medium,0.7
Fair,I,64.7,medium,0.7
Good,F,64.1,medium,0.66
Good,I,63.7,medium,0.73
Good,I,61.1,medium,0.71
Good,I,60.1,medium,0.72
Fair,I,64.7,medium,0.71
Good,F,63.5,medium,0.7
Good,I,64.3,medium,0.71
Good,I,59.4,medium,0.7
Good,I,57.5,medium,0.7
Good,I,63.9,medium,0.7
Good,I,64.3,medium,0.71
Good,F,61.5,medium,0.66
Good,D,58.9,medium,0.62
Good,F,63.8,medium,0.7
Good,F,58.1,medium,0.67
Good,F,58.7,medium,0.67
Good,F,63,medium,0.71
Fair,I,65.1,medium,0.84
Good,F,62.9,medium,0.7
Fair,D,55.6,medium,0.71
Fair,F,65.5,medium,0.7
Good,F,64.3,medium,0.7
Fair,I,64.6,medium,0.81
Fair,D,65.4,medium,0.72
Good,F,63.9,medium,0.7
Fair,F,64.4,medium,0.59
Good,I,58.5,medium,0.79
Good,F,63.6,medium,0.71
Fair,F,66.4,medium,0.7
Fair,I,57.4,medium,0.88
Fair,D,65.2,medium,0.7
Fair,I,64.9,medium,0.83
Good,F,64.1,medium,0.72
Good,F,60.1,medium,0.7
Good,F,62.6,medium,0.7
Good,F,62.9,medium,0.7
Fair,D,64.4,medium,0.71
Fair,F,64.6,medium,0.74
Good,I,63.8,medium,0.81
Good,I,63.8,medium,0.81
Fair,F,65.4,medium,0.75
Fair,I,65.8,medium,0.9
Good,F,58,medium,0.72
Good,F,63.5,medium,0.72
Good,F,61.1,medium,0.72
Fair,F,55.4,medium,0.72
Good,D,58,medium,0.7
Fair,F,64.5,medium,0.7
